timestamp,si(t),a(t),mm(t),mt(t),mq(t),mr(t),r(t),cm(t),ct(t),cq(t),cr(t),em(t),et(t),q(t),zmm(t),zmt(t),zmq(t),zmr(t)
52.0,0.21322544796853263,10876.931412694557,3.2525385433475863e-6,3.2525385433474757e-6,3.252538543347266e-6,3.252538543347422e-6,10.204606450833873,0.0004750316171754684,0.00047503161717545235,0.0004750316171754217,0.0004750316171754434,0.22259236846139577,0.2225923684613981,0.22259236846139868,0.0,0.0,0.0,0.0
53.0,0.213221546645138,12306.002124587068,3.3906796741031095e-6,3.390679674102991e-6,3.3906796741026623e-6,3.390679674102908e-6,10.222982857615948,0.0004948294301439706,0.0004948294301439532,0.0004948294301439058,0.0004948294301439412,0.24248556184733241,0.24248556184733405,0.2424855618473331,0.0,0.0,0.0,0.0
54.0,0.21321850979690465,13860.91214695599,3.5275427967461737e-6,3.527542796746025e-6,3.5275427967454965e-6,3.527542796745943e-6,10.242157565572352,0.0005146403758685337,0.0005146403758685118,0.0005146403758684354,0.0005146403758685001,0.26323929655096523,0.26323929655096606,0.26323929655096223,0.0,0.0,0.0,0.0
55.0,0.21321955788863575,15547.001990900071,3.6631737886946557e-6,3.663173788694524e-6,3.663173788693851e-6,3.6631737886944405e-6,10.262127582020984,0.0005344599493530684,0.0005344599493530492,0.0005344599493529515,0.000534459949353037,0.2848503273521302,0.28485032735213034,0.2848503273521229,0.0,0.0,0.0,0.0
56.0,0.2132238289239475,17369.588612713957,3.797575812608963e-6,3.7975758126089085e-6,3.7975758126081296e-6,3.7975758126088106e-6,10.282890031874743,0.0005542842752989164,0.0005542842752989088,0.0005542842752987954,0.000554284275298894,0.3073155385007002,0.3073155385006998,0.3073155385006884,0.0,0.0,0.0,0.0
57.0,0.21322033062377094,19333.96542328542,3.930704798232889e-6,3.9307047982328826e-6,3.930704798231798e-6,3.930704798232771e-6,10.304442142132613,0.0005741100790128775,0.0005741100790128765,0.0005741100790127192,0.0005741100790128597,0.3306319268741658,0.33063192687416515,0.33063192687414844,0.0,0.0,0.0,0.0
58.0,0.2132208542720968,21445.40261293333,4.062616396127593e-6,4.062616396127625e-6,4.06261639612609e-6,4.062616396127509e-6,10.326781299362382,0.0005939345029375759,0.0005939345029375804,0.000593934502937358,0.0005939345029375637,0.354796663146914,0.3547966631469135,0.35479666314688907,0.0,0.0,0.0,0.0
59.0,0.21321897989407898,23709.151201954002,4.193300289298022e-6,4.193300289298108e-6,4.193300289296024e-6,4.193300289297994e-6,10.349905123464726,0.0006137552388138161,0.0006137552388138286,0.0006137552388135265,0.0006137552388138131,0.37980717186999013,0.37980717186998975,0.37980717186995494,0.0,0.0,0.0,0.0
60.0,0.2132192711905289,26130.44399281547,4.3227792501128115e-6,4.3227792501128886e-6,4.322779250109999e-6,4.322779250112792e-6,10.373811415483255,0.0006335703291373434,0.0006335703291373545,0.000633570329136934,0.0006335703291373407,0.40566107435977333,0.4056610743597731,0.4056610743597236,0.0,0.0,0.0,0.0
61.0,0.21322189653482096,28714.494609613528,4.4510501621683706e-6,4.451050162168364e-6,4.4510501621643344e-6,4.451050162168295e-6,10.398498014400866,0.0006533780373093295,0.0006533780373093282,0.0006533780373087392,0.0006533780373093162,0.43235603377965476,0.4323560337796546,0.43235603377958426,0.0,0.0,0.0,0.0
62.0,0.21322262897289254,31466.497498071734,4.578084020288877e-6,4.57808402028877e-6,4.578084020283264e-6,4.578084020288712e-6,10.423962797139746,0.0006731768476363722,0.0006731768476363561,0.0006731768476355501,0.0006731768476363452,0.4598897551400372,0.45988975514003694,0.4598897551399376,0.0,0.0,0.0,0.0
63.0,0.21322085002193752,34391.62814976349,4.7038652718274545e-6,4.7038652718273385e-6,4.703865271820083e-6,4.703865271827291e-6,10.450203710068532,0.0006929654516940944,0.0006929654516940775,0.0006929654516930144,0.0006929654516940699,0.4882600192009579,0.4882600192009571,0.48826001920081874,0.0,0.0,0.0,0.0
64.0,0.21322091175752367,37495.04319517589,4.828421704858357e-6,4.828421704858221e-6,4.828421704848808e-6,4.828421704858118e-6,10.4772187612317,0.0007127426450033852,0.0007127426450033649,0.0007127426450019827,0.00071274264500335,0.5174646736506778,0.5174646736506762,0.5174646736504872,0.0,0.0,0.0,0.0
65.0,0.21321944498843587,40781.884161872054,4.951734004194519e-6,4.951734004194342e-6,4.951734004182233e-6,4.951734004194157e-6,10.505006088580869,0.0007325074711230145,0.0007325074711229878,0.0007325074711212059,0.000732507471122962,0.5475017072731339,0.5475017072731313,0.5475017072728766,0.0,0.0,0.0,0.0
66.0,0.21321887564791728,44257.27629565329,5.0738046200364655e-6,5.0738046200362656e-6,5.073804620020799e-6,5.0738046200360724e-6,10.533563899428993,0.00075225908243578,0.0007522590824357501,0.0007522590824334686,0.0007522590824357228,0.5783691840856966,0.5783691840856929,0.5783691840853541,0.0,0.0,0.0,0.0
67.0,0.21322001813110952,47926.32770278746,5.194628644963082e-6,5.1946286449628955e-6,5.194628644943269e-6,5.194628644962805e-6,10.56289040906132,0.0007719967042512732,0.000771996704251246,0.000771996704248343,0.0007719967042512316,0.6100651770134452,0.6100651770134403,0.6100651770129942,0.0,0.0,0.0,0.0
